prompt,query
"How many employees are in the Logistics department?","SELECT COUNT(*) FROM employees WHERE department_id = 4"
"What is the highest salary in the Administration department?","SELECT MAX(salary) FROM employees WHERE department_id = 5"
"List all ships built before 2010.","SELECT ship_name FROM ships WHERE build_year < 2010"
"What is the total salary of all employees in the Operations department?","SELECT SUM(salary) FROM employees WHERE department_id = 2"
"List all cradles that are operational.","SELECT cradle_id FROM cradles WHERE status = 'Operational'"
"Which lifts have not been inspected in the last 6 months?","SELECT lift_id FROM lifts WHERE last_inspection_date < ADD_MONTHS(SYSDATE, -6)"
"How many employees are assigned to maintenance tasks?","SELECT COUNT(DISTINCT employee_id) FROM maintenance_assignments"
"What is the description of the 'Engine Check' task?","SELECT description FROM maintenance_tasks WHERE task_name = 'Engine Check'"
"List all employees assigned to Task ID 2.","SELECT e.first_name, e.last_name FROM employees e JOIN maintenance_assignments ma ON e.employee_id = ma.employee_id WHERE ma.task_id = 2"
"What is the total number of trolleys in service?","SELECT COUNT(*) FROM trolleys WHERE status = 'In Service'"
"Which ships are currently under maintenance?","SELECT ship_name FROM ships WHERE status = 'Under Maintenance'"
"How many cradles require maintenance?","SELECT COUNT(*) FROM cradles WHERE requires_maintenance = 'Yes'"
"What is the average time for maintenance tasks on cradles?","SELECT AVG(average_time_minutes) FROM maintenance_tasks WHERE task_type = 'Cradle'"
"List the departments and their locations.","SELECT department_name, location FROM departments"
"Which employees were hired after 2020?","SELECT first_name, last_name FROM employees WHERE hire_date > TO_DATE('2020-12-31', 'YYYY-MM-DD')"
"List all employees currently unavailable for tasks.","SELECT first_name, last_name FROM employees WHERE availability_status = 'Unavailable'"
"What is the total number of lifts in the port?","SELECT COUNT(*) FROM lifts"
"List the names of ships and their types.","SELECT ship_name, type FROM ships"
"Which employees are assigned to tasks between January and March 2024?","SELECT e.first_name, e.last_name FROM employees e JOIN maintenance_assignments ma ON e.employee_id = ma.employee_id WHERE ma.start_time BETWEEN TO_DATE('2024-01-01', 'YYYY-MM-DD') AND TO_DATE('2024-03-31', 'YYYY-MM-DD')"
"What is the count of ships built in or after 2015?","SELECT COUNT(*) FROM ships WHERE build_year >= 2015"
"Retrieve all employees","SELECT * FROM employees;"
"Find employees with a salary greater than 50000","SELECT * FROM employees WHERE salary > 50000;"
"Get the average salary of all employees","SELECT AVG(salary) FROM employees;"
"Show the list of employees and their departments","SELECT e.name, d.name FROM employees e JOIN departments d ON e.department_id = d.id;"
"List employees hired after January 1st, 2020","SELECT * FROM employees WHERE hire_date > TO_DATE('2020-01-01', 'YYYY-MM-DD');"
"Get the total number of employees in each department","SELECT department_id, COUNT(*) FROM employees GROUP BY department_id;"
"Show employees with salary between 40000 and 60000","SELECT * FROM employees WHERE salary BETWEEN 40000 AND 60000;"
